Nome,Codice,Azienda,Quantità,Categoria,Tipo,Nicotina,Formato,Prezzo,Descrizione
Mela Kiwi,8051414444289,VaporArt,5,Liquido,Pronto,8,10ml,5,
Fragola,8051414440281,VaporArt,7,Liquido,Pronto,0,10ml,5,
Fragola,8051414444241,VaporArt,11,Liquido,Pronto,4,10ml,5,
Fragola,8051414444258,VaporArt,7,Liquido,Pronto,8,10ml,5,
Mora Violetta,8051414440342,VaporArt,,Liquido,Pronto,0,10ml,5,
Mora Violetta,8051414444302,VaporArt,,Liquido,Pronto,4,10ml,5,
Mora Violetta,8051414444319,VaporArt,,Liquido,Pronto,8,10ml,5,
Latte e Menta,8051414443732,VaporArt,,Liquido,Pronto,0,10ml,5,
Latte e Menta,,VaporArt,,Liquido,Pronto,4,10ml,5,
Latte e Menta,,VaporArt,,Liquido,Pronto,8,10ml,5,
Menta,8051414440229,VaporArt,,Liquido,Pronto,0,10ml,5,
Menta,,VaporArt,,Liquido,Pronto,4,10ml,5,
Menta,,VaporArt,,Liquido,Pronto,8,10ml,5,
Yellow Fizz,8051414446900,VaporArt,,Liquido,Pronto,0,10ml,5,
Yellow Fizz,8051414446917,VaporArt,,Liquido,Pronto,3,10ml,5,
Yellow Fizz,8051414446924,VaporArt,,Liquido,Pronto,6,10ml,5,
Crimson Juice,8051414446931,VaporArt,,Liquido,Pronto,0,10ml,5,
Crimson Juice,8051414446948,VaporArt,,Liquido,Pronto,3,10ml,5,
Crimson Juice,8051414446955,VaporArt,,Liquido,Pronto,6,10ml,5,
Crispy Dream,8051414446962,VaporArt,,Liquido,Pronto,0,10ml,5,
Crispy Dream,,VaporArt,,Liquido,Pronto,3,10ml,5,
Crispy Dream,,VaporArt,,Liquido,Pronto,6,10ml,5,
Cactus Jam,8051414446993,VaporArt,,Liquido,Pronto,0,10ml,5,
Cactus Jam,,VaporArt,,Liquido,Pronto,3,10ml,5,
Cactus Jam,,VaporArt,,Liquido,Pronto,6,10ml,5,
Tuscan Havana,8051414440168,VaporArt,,Liquido,Pronto,0,10ml,5,
Tuscan Havana,,VaporArt,,Liquido,Pronto,4,10ml,5,
Tuscan Havana,,VaporArt,,Liquido,Pronto,8,10ml,5,
Tuscan Havana,,VaporArt,,Liquido,Pronto,14,10ml,5,
